is_hazmat,reason,item_id,title,description,domain_id
False,"Óculos de difração não são materiais perigosos; eles são acessórios para visualização e não contêm substâncias inflamáveis, corrosivas, tóxicas ou explosivas.",MLB45727513,Óculos de difração de fogos de artifício - óculos de 50 Dif,,MLB-3D_GLASSES
False,"A caneta 3D é um brinquedo eletrônico. Embora alguns dispositivos eletrônicos possam conter baterias de lítio, o título não especifica isso e, como um brinquedo infantil, é improvável que contenha materiais perigosos que o classifiquem como Hazmat. Os filamentos plásticos (PLA/ABS) não são considerados materiais perigosos para transporte.",MLB39193503,Caneta 3d Impressora Brinquedo Educativo Infantil,,MLB-3D_PENS
True,"Óleos e graxas lubrificantes são frequentemente considerados materiais regulamentados ou podem ser inflamáveis, dependendo do ponto de fulgor.",MLB64653434,"Óleo lubrificante encorajado para peças de impressoras 3D - Graxa lubrificante com bom efeito lubrificante para reduzir o ruído, evitar ferrugem e manter as impressoras | Bom efeito de redução de...",,MLB-3D_PRINTERS
False,"O produto consiste em agulhas de aço inoxidável para limpeza, não contendo substâncias perigosas.",MLB29216001,Kit Desentupidor 5 Agulhas Limpeza Impressora 3d Bico Hotend,"Kit Desentupidor 5 Agulhas Limpeza Impressora 3d Bico Hotend 

Evite perder mais bicos Nozzle sem necessidade com este kit.

Este kit contém 5 agulhas de limpeza para bico Printer com diâmetro de 0.4mm, o tamanho mais utilizado de Nozzle.

Compatível com todos os bicos de 0.4mm (Reprap, Ultimaker, Makerbot, Flashforge e muito mais).

Material:
As agulhas são feitas de aço inoxidável de alta qualidade.
São resistentes, duráveis e flexíveis, fáceis de dobrar mas não quebrar.

Versátil:
As agulhas de limpeza da impressora 3D também podem ser usadas para limpar outras peças pequenas, como a garganta e engrenagens da alimentação.

Adequado para limpeza de bocal, como escova de ar, bocal de aspersão de água, mangueira de jardim, cabeça de chuveiro, Bicos da máquina de lavar louça, Bico de Fogão e assim por diante.

A ponta da agulha é lisa e afiada.

O corpo da agulha tem alta resistência e boa tenacidade.

Alça única agulha e agulha de construção do corpo.

Pode efetivamente limpar o bocal de impressora 3D, sem danificar facilmente o bico.",MLB-3D_PRINTER_NOZZLES
False,"É um brinquedo infantil, não contendo substâncias perigosas, baterias de lítio ou outros materiais regulamentados.",MLB48053823,"Brinquedo educativo pequeno Palmusic, acordeão branco para crianças",,MLB-ACCORDIONS_AND_CONCERTINAS
False,"O produto é um violão eletroacústico e não contém materiais perigosos como baterias de lítio grandes, líquidos inflamáveis ou produtos químicos corrosivos.",MLB37708002,Violão Eletroacústica Memphis Para Destros Preta Madeira Técnica Verniz,"Violão Eletroacústico Folk Memphis MD-18 – Com Regulagem

KIT COM CAPA STANDARD

Violão Memphis By Tagima MD-18 Eletroacústico Folk aço, possui braço em Linden, escala em Rosewood e equalização MEQ-4. Ideal para quem está começando, para estudar violão, tocar plugado em apresentações, ou fazer aquele som com os amigos.

A combinação das madeiras com sua configuração elétrica entregam um som limpo e equilibrado, que somado às suas cordas em aço, resultam numa tocabilidade poderosa e equilibrada, perfeito para palco, estúdio, igreja, casa ou roda de amigos, atendendo de forma brilhante tanto iniciantes quanto profissionais.

Especificações Técnicas Violão Folk MD-18:

• Linha: Memphis By Tagima  
• Modelo: MD-18  
• Tampo: Lindan  
• Lateral/Fundo: Lindan  
• Elétrico: Sim  
• Equalizador: MEQ-4  
• Corpo: Folk  
• Cutaway: Sim  
• Cordas: Aço  
• Braço: Linden - Shape C  
• Escala: Tech wood - C 25.5”  
• Cavalete: Chhlik wood  
• Nut: 43mm - Plástico  
• Captação Piezo  

Conteúdo:

• 01 Violão  
• 01 Chave de regulagem  
• 01 Capa Standard  ",MLB-ACOUSTIC_GUITARS
True,"O produto contém uma bateria de lítio 18650, que é classificada como material perigoso devido ao risco de inflamabilidade.",MLB64429196,Sistema de Controle de Lentes Sem Fio Tilta Nucleus-m Wlc-t03 (Kit Parcial I) Com Bateria 18650,,MLB-ACTION_CAMERA_ACCESSORIES_KITS
False,Este é um brinquedo colecionável (Funko Soda) e não contém materiais perigosos.,MLB37700839,Funko Soda Marvel: Lutadores - Os Furiosos,,MLB-ACTION_FIGURES
False,"Fita adesiva e adesivos industriais em forma de fita geralmente não são classificados como materiais perigosos, a menos que contenham componentes específicos e em quantidade que os tornem inflamáveis, corrosivos ou tóxicos, o que não é indicado no título.",MLB36425336,"Fita adesiva de 3 m, adesivo industrial Extreme Hold Pro, 27 m, preto liso",,MLB-ADHESIVE_TAPES
False,"O produto é uma calça plástica geriátrica, não contendo substâncias inflamáveis, corrosivas, tóxicas ou quaisquer outros materiais perigosos.",MLB19885156,Calça Plástica Geriátrica (calça Enxuta) Botão E Forro Duplo,"Calça Plástica Geriátrica (Calça Enxuta) Adulto c/ Botão e Forro Duplo

As calças plásticas geriátricas Nilce favorecem o conforto de pessoas que necessitam utilizar fraldas geriátricas constantemente, aliviando problemas como enurese e incontinência urinária.

A Calça Enxuta Nilce Adulto possui corte anatômico, botões especiais que não enferrujam, é prática e durável.

Instruções de uso: Coloque uma fralda comum na abertura do forro. No período noturno, durante o sono, utilize duas fraldas.

Tamanhos

EP(38/40)  
P(42/44)  
M(46/48)  
G(50/52)  
EG(54/56)",MLB-ADULT_DIAPERS
